UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,5h,"What,PMLN","What exactly is a ""gharailu aurat""? I ask Rana Sanaullah and his party. Do you guys consider Maryam Nawaz Sharif & women members of #PMLN gharailu aurataiN? If yes, you're more messed than I ever thought. If no, you have totally lost your own argument. Think!",,
,,5h,Rana,"Rana Sanaullah's statement about women participating in yesterday's PTI jalsa, is puke worthy & despicable. PMLN men prove almost everyday the misogynist culture of their party and patriarchal character of their own. This entire lot of chauvinist males needs urgent replacement.",,
,,3h,"#PMLN,Ranasanaullah,Ranasanaullah","#PMLN have lost their senses. 
They d'nt how to respect a women.
Shame for #Ranasanaullah
Disgusting 
Kuch tu sharam Karo 
Kuch tu hay karo
#Ranasanaullah",,
,,23h,This,This is how much PTI supporters respect women. Impressed. https://twitter.com/NomiiSahil/status/990691876356460544 …,,
,,Apr 20,"A,AliZafar,MeeshaShafi:",A rare photo of #AliZafar trying to harass #MeeshaShafi: pic.twitter.com/CPSSX7ChVi,,
,,32m,@DrAyeshaNaveed,@DrAyeshaNaveed @IN FACT IF you investigate his women at home listen the same dirty Language so he is INCORRIGIBLE.,,
,,39m,"#SongsOfFreedom2018,MashalKhan,BachaKhanUniAttack,Malala,SongsOfFreedom2018","#SongsOfFreedom2018
We want an end to the education system which has killed many young students from #MashalKhan to #BachaKhanUniAttack it has bred killers of kids like Zainab. The narrative that has turned a killer into hero and curses peaceful #Malala 
#SongsOfFreedom2018",,
,,2h,Wallah,"Wallah I’m not gonna make my children’s life as I’m spending it, like hell bored, I will have some games in my house and weekly tour nearest part where I will live.",,
,,2h,"We,sexualharrasment,songsoffreedom2018",We aim to end #sexualharrasment across campuses. We demand an immediate end to oppression on women in our society #songsoffreedom2018,,
,,3h,#OneShiningYearOfPTS,"#OneShiningYearOfPTS 
The selfie  of the year, credit goes to @ImranKhanPTI because no other leader can even tolerate to be someone like this child so close to him pic.twitter.com/hD0PezyWXa",,
,,3h,#Shab_e_Barat,"#Shab_e_Barat
A Night of Blessing 
All Human deeds is presented above & the decisions of life and Death are made for the next year May Almighty Allah forgive our all sins I Request to all of u please remember each other in your prays",,
,,4h,"Strongly,WomenmysisterWomenmyMother,RanaSanaullah","Strongly Condemn the disgraceful  words used by Rana Sanaullah for Women.
 Therefore we want to kick them. We believe in women empowerment, part of 11 point agenda of PTI. #WomenmysisterWomenmyMother
#RanaSanaullah pic.twitter.com/Lc6kHUePSU",,
,,4h,In,"In the very moments when Imran Khan included women empowerment in his 11 points. 
Appalled by the statements made by PMLN representatives seeing how Maryam Nawaz, a woman, is now the face of the party. https://twitter.com/uzair_rehman28/status/990978008637992960 …",,
,,6h,"Outrageous,women,PTIMinarePakistanJalsa,votes,respect","Outrageous & condescending statement by Rana Sanaullah about #women among general public in #PTIMinarePakistanJalsa 
If those women were any potential voters for him then he has lost their #votes & #respect forever. It's like digging one's own grave! pic.twitter.com/OvJDileKXn",,
,,7h,#Alkhidmat,#Alkhidmat Foundation Pakistan Multan chapter arranged a free medical camp for the orphan children. As many as 195 orphan children registered with Orphan Care Program were examined on the occasion. A number of specialist doctors participated in the camp. pic.twitter.com/Q5gSnxuyHi,,
,,8h,"Imran,PTIMinarePakistanJalsa,دو_نہیں_ایک_پاکستان","Imran Khan Eleven Point Agenda April 29 in Lahore:
1. Education
2. Healthcare
3. Tax Reform
4. Corruption Control
5. Economy
6. Employment
7. Tourism
8. Agriculture
9. Federation & Provincial Reform
10. Justice
11. Women Empowerment
#PTIMinarePakistanJalsa
#دو_نہیں_ایک_پاکستان",,
,,9h,"Khan,ایسا_ہوگا_نیا_پاکستان","Khan does not have a history of having had people punished brutally or beaten or attacked.
#ایسا_ہوگا_نیا_پاکستان",,
,,Apr 28,Save,Save ur daughters & women ! When a man becomes animal he don’t respect the women & relation ! Bullet in head is needed to Rapist ! @KPKUpdates @PeshawarCCPO @kpk_police @ChitralPolice @SalahuddinKhanM @IGPpunjab @ICT_Police @pid_gov @GovtOfPunjab,,
,,Apr 28,Alkhidmat,"Alkhidmat Foundation Pakistan is going to organize ""Annual Charity Dinner for Street Children"" at Lahore Pearl Continental Hotel on May 18th.The event is aimed at highlighting the contributions of AKFP for rehabilitation of the children through Alkhidmat Child Protection Center. pic.twitter.com/mQpqYCn6PC",,
,,Apr 26,First,"First ever conviction in Child Pornography Scam just went today into pocket of FIA Cyber Crime Circle Lahore regarding an international scam due to effective prosecution and investigation.
2) Sadat Amin was arrested from Sargodha on the complaint of Norweign Embassy 1/4",,
,,2h,PMLN,PMLN has no respect for women. All women members of PMLN must protest against the garbage vomited by Rana Sanaullah and Abid SherAli.,,
,,3h,"Strongly,WomenmysisterWomenmyMother,RanaSanaullah,PTIMinarePakistanJalsa","Strongly Condemn the disgraceful  words used by Rana Sanaullah for Women.
 Therefore we want to kick them. We believe in women empowerment, part of 11 point agenda of PTI. #WomenmysisterWomenmyMother
#RanaSanaullah
#PTIMinarePakistanJalsa pic.twitter.com/uGLXVjYm0j",,
,,5h,"A,PashtunLongMarch2Swat,PashtunTahafuzMovement","A single tear of a child, who's father is kidnapped by the deep state, is more valuable than the flags of 200+ countries.  You do not need to teach us morality and respect.
#PashtunLongMarch2Swat
#PashtunTahafuzMovement",,
,,12h,Shab-e-Barat,Shab-e-Barat Is To B Arrived Soon Our Future Of Life Or Death Will Be Written That Night So I Openly Appologize To All Of U If Ever I Hv Hearted You Directly Or Indirectly Plz Forgive Me Remember Me In Ur Pray! God Bless You All,,
,,16h,Again,Again target killings in Quetta. Blood in Quetta again. Is it a new round and will it continue? This brutal act must be stopped immediately.,,
,,Apr 29,Women,Women who can't perform hajj without mahram are allowed to dance in IK variety show,,
,,Apr 29,Wallah,"Wallah it’s not just for fun, logo ki zindage barbad hoty deakha hai, death is not a joke, being psycho is not a joke, being in comma is not a joke. Grow up people just grow you mind.",,
,,Apr 28,Nobody,Nobody ever wanted to attack you ever you yourself bump into people and wanted yourself to be attacked every time there is a minute issue. Just because you shout well doesn’t mean you are representing true women rights. Your kind of attitude is highly condemnable. https://twitter.com/shireenmazari1/status/989918043022209024 …,,
,,Apr 27,There,"There are even more elevated personalities vis_a_vis charity. I consider IK is even heads and shoulders taller than the great Edhi in this context. But Fatima Jinnah deserve this honour, for shouldering Quaid-i-Azam in creation of Pakistan in which Rwp airport is located",,
,,Apr 26,Alkhidmat,"Alkhidmat Foundation Pakistan celebrated Orphan Solidarity Day in collaboration with Turkish NGO IHH at Islamabad. A large number of 600 orphan children and their families participated in the event. Rao Muhammad Zafar, President AKFP Punjab was also present on the occasion. pic.twitter.com/ZcnhWnIZL0",,
,,Apr 25,"#India,AsaramVerdict,AsaramConvicted","#India : Guru Asaram, owner of 400 aashram & 10 thousand crore property, is sentenced to lifetime imprisonment under proven rape charges
#AsaramVerdict #AsaramConvicted",,
,,Apr 25,"1/3rd,MuslimsAreBleeding","1/3rd of the World is Muslim.
That is more than 2 billion people.
If Islam was the religion of violence, there would be no one left on Earth.
Yet #MuslimsAreBleeding",,
,,Apr 24,#TogetherFor10Million,"#TogetherFor10Million 
Educating one million out of school children. pic.twitter.com/idcVciQLJi",,
,,Apr 24,I,"I want to file a charge against low battery notification....
It's harass me very badly....",,
,,Apr 24,"#Donate,Blood,Thalassemia",#Donate Zakat and #Blood for the treatment of #Thalassemia children . pic.twitter.com/16iD623w9Y,,
,,Apr 23,Harassment,Harassment overloaded  pic.twitter.com/RGkld18kpw,,
,,Apr 20,#TheWayOfQuran,"#TheWayOfQuran 
More
""Justice"" is so important in Islam that Allah warns men not to marry more than 1 women IF unable to do justice.",,
,,Apr 20,"#Baniupdates:,gymlife,banij,weightlifting","#Baniupdates: Yarm Dat in Gym @bani_j killing it  
#gymlife #banij #weightlifting pic.twitter.com/E1maEgvNXR",,
,,Apr 20,"Human,GuardianExposesIndia","Human rights group say 150 top officers among Indian security forces accused of killings,abduction,  torture and sexual violence in disputed region
#GuardianExposesIndia pic.twitter.com/aoomFj9Fx7",,
,,3h,Why,Why majority of Pakistani ‘liberals’ are not condemning abuses of PMLN against women? Do they think that this way their beloved ‘anti-establishment’ party will come under further pressure? @cyalm,,
,,6h,Hope,Hope you @marvi_memon will ask the women hating and disrespecting male members of your party to apologize to the women they have insulted be it TalalChaudhry to @itsmeeshashafi or @AbidSherAli to @ShireenMazari1,,
,,9h,"Another,Larkana,daughters,Pakistan,JusticeForSaimahttps://twitter.com/sheenaabidashah/status/990177923880583169","Another daughter of Eve. Another saga of cold blooded rape murder & torture in #Larkana this time going unnoticed.
We are sacrificing #daughters of #Pakistan because despite Suo Moto & culprit caught of Zainab, he's yet to be assassinated by the State.
#JusticeForSaimahttps://twitter.com/sheenaabidashah/status/990177923880583169 …",,
,,10h,It,It was a long speech bt why did not the nasty Khan mention the present conditions of kpk hospitals educational institutions and tourism deparment and women condition in kpk it was total blackout for his provinces conditions.@MaryamNSharif @sheikhsafina @SakiaMMSS @Bintanveer4387,,
,,Apr 29,A,"A Day of Prayer and Mourning was observed along with Catholic Church and Christian community for all the victims of religious intolerance, violence and for peace and harmony in Pakistan on Sunday, April 29, 2018 at Bishop House Multan, Punjab, Pakistan. pic.twitter.com/1J1rTWEaZ3",,
,,Apr 29,Don't,"Don't keep collecting properties & assests for children. So that u miss the fun of your life & they're raised unable to have fun. Instead, give them a good, fun-filled life. Teach them how to stay happy & they'll find a way to stay that way.",,
,,Apr 26,having,"having the hands in gloves with INTERNATIONAL CHILD PORNOGRAPHERS nexus namely Jan Lindstrom, Sweden, Giovani Betotti, Italy, Max Hunter, USA, Andrew Moody, UK and Mukhtar from UK. The complete trial was carried out.
4) Today on 26.4.2018 the court of special judge for cyber 3/4",,
,,Apr 26,Khawja,Khawja Asif decision is  like giving death sentence to some one who has already died,,
,,Apr 25,Each,"Each gift to Hope Ministries is gratefully received, promptly receipted, and prayerfully used.
Children are needed offering for their school tuition, books, uniform and food. Your prayerful donations will send the story of God's love in word and deed to the ends of the earth. pic.twitter.com/G9geFENuBO",,
,,Apr 25,"Reading,ATimeOfMadness","Reading #ATimeOfMadness and living every moment with @odysseuslahori What a book. My heart aches. Sad to know how many lives were brutally lost... 
And for what?  pic.twitter.com/mvSkA1UzDJ",,
,,Apr 25,"Madeeha,Pakistani","Madeeha Gauhar (1956 - 2018) was a #Pakistani actress, playwright and director of social theater, women's rights activist and founder of Ajoka Theater. She lost her fight against cancer today morning. May her soul rest in peace. pic.twitter.com/d0IWVEHNvV",,
,,Apr 24,"Al-Khidmat,Aghosh,Alkhidmat,Rawalpindi,Islamabad,Turkish,Embassy,Islamabad.,won","Al-Khidmat Foundation Pakistan [Official]
Published by Yasir Hafeez · 14 mins · 
Children from #Aghosh #Alkhidmat #Rawalpindi and #Islamabad participated in a Children's event arranged by #Turkish #Embassy in #Islamabad. They #won many prizes. pic.twitter.com/ONV52ecAad",,
,,Apr 24,"Indeed,TVCHANNEL,PTVNEWS,MicrosoftEdu",Indeed honour to give interview to Pakistan national #TVCHANNEL #PTVNEWS where i discussed the possibilities how educators could get benefit from #MicrosoftEdu programs. pic.twitter.com/iSn9Cd3pHv,,
,,Apr 23,"#Alkhidmat,Foundation,Women,Wing,Pakistan,Bahawalpur.,Multan,Bahawalpur,,DG,Rahimyar,Layyah","#Alkhidmat #Foundation #Women #Wing #Pakistan arranged a workshop on RMD""Orphan Budget Social Media"" for members and volunteers in #Bahawalpur. 40 members attended the workshop from districts of #Multan , #Bahawalpur, #DG Khan, #Rahimyar Khan and #Layyah . pic.twitter.com/bPMvdLXVry",,
,,Apr 21,"I,MyLife,Bahwalpur","I visited orphanage for one more time because spending time with these pure little souls is amazing, They need us in their life because they have lost their Parents..But We will Support Them tilll the Death
#MyLife With Happiness
#Bahwalpur 
@iqrarulhassan  Your Jaanbaz  pic.twitter.com/Sgt2X8GnPM",,
,,Apr 20,"We,motarcyclegirl,cakethefilm","We don’t need item songs in the movie to marked it as good movie , go and watch #motarcyclegirl ,we can make good movie without item songs too and this movie is the one, absolutely hated #cakethefilm where according to them they showed strong women, i think motarcycle girl shows",,
,,Apr 20,it,it always astounds me when these british molvi dudes are out here with videos online shaming women for putting up pictures of half their face https://twitter.com/howcomeyousmell/status/986469312926965760 …,,
,,Apr 20,"Rape,GuardianExposesIndia","Rape in Kashmir. A crime of war.  No end in sight. Human rights violations in Assam. 
#GuardianExposesIndia pic.twitter.com/ZiGJMvrgbd",,
,,Apr 20,"International,GuardianExposesIndia","International NGO's as well as the US state department have documented human rights abuses about sexual
#GuardianExposesIndia pic.twitter.com/jtMqV9TZcD",,
,,Apr 20,"Civilians,GuardianExposesIndia","Civilians including women and children have been killed in reprisal attacks by Indian security forces
#GuardianExposesIndia pic.twitter.com/zjFscJy11K",,
,,7h,I,"I heard someone sharing this singular idea, ""We've not inherited this Earth from our fathers and forefathers. But we've borrowed it from our children and our children's children.""",,
,,13h,"Donate,education,Pakistan,KhatoonHealthServices,Islamabad,BaniGala",Donate for girl child #education &#health in #Pakistan  #KhatoonHealthServices #Islamabad #BaniGala pic.twitter.com/eEIehZT6IR,,
,,15h,"Have,PTIMinarePakistanJalsa","Have a look at Naya Pakistan 
1. Education
2. Healthcare
3. Tax Reform
4. Corruption Control
5. Economy
6. Employment/Industry
7. Tourism/Environment
8. Agriculture/Samall farmer
9. Strong Federation(S Punjab)
10.Justice(Police)
11.Women 
@PTIofficial 
#PTIMinarePakistanJalsa",,
,,18h,If,"If you're a man who has something negative to say about women, write it down, go home and give it to your mother.....",,
,,23h,Pakistan's,Pakistan's minorities in crosshairs of latest violence in Quetta https://www.aljazeera.com/indepth/features/pakistan-minorities-crosshairs-latest-violence-quetta-180427074300008.html …,,
,,Apr 29,I'm,I'm totally disaster with women....,,
,,Apr 29,Children,Children poisoned. Foul mouthing needs be curbed,,
,,Apr 28,Moral,Moral police of Islamic republic yet again strike on innocent boys & girls enjoying party last night in Barakahu Islamabad. Dancing & partying in Pakistan is as bigger a crimes as rape & murder pic.twitter.com/mWOV8eyvP6,,
,,Apr 27,we,"we have a meeting with (chairperson pti gulalai Ayesha gulalai. Pakistan's first women MNA She visited Kashmir to raise a voice against India's bombardment on innocent Kashmiris. That's why I, appreciated her efforts. and invited her to meet our (psp) chairman syed Mustafa kamal. pic.twitter.com/1rGe83LPXF",,
,,Apr 27,"When,Phuphi","When you reach the end of your rope, tie a knot in it and hang on.
#Phuphi pic.twitter.com/46ADLHMov2",,
,,Apr 27,It,It will take a long time for the pendulum to swing the other way. That doesn't mean we keep quiet about sexual harassment. https://www.dawn.com/news/1361755/safe-workplaces …,,
,,Apr 26,i,"i believe i have broken most human records for being tired, considering i am tired literally every conscious moment of the sad march toward death you all seem to refer to as ‘my life’",,
,,Apr 26,on,"on 11.04.2017 and a case FIRNo.34/17 was lodged. He was involved in Child pornography. More than 650000 pics and videos related to child pornography were recovered from the seized digital media from his possession. 
3) During investigation, it revealed that Sadat Amin was 2/4",,
,,Apr 26,"It's,StayStrongKhawajaAsif",It's a target killing ! Short story  #StayStrongKhawajaAsif,,
,,Apr 25,Madeeha,"Madeeha Gauhar, Ajoka Theatre’s founder, actress, scriptwriter, director of social theatre, and women’s rights activist passed away at the age of 62 due to cancer.
She promoted tolerance, acceptance and social justice through theatre. May she rest in peace. We miss you! pic.twitter.com/3ezFC8TICr",,
,,Apr 25,"Interior,SaqibNisar,illegal,5YearsOfCPEC","Interior Minister Ahsan Iqbal asks the CJP #SaqibNisar for a charge sheet with full authority.
It's in context to the appointment of
Dr Uzma Qureshi, VC of Lahore College for Women University, who was removed from ths post as CJP termed her appointment #illegal 
#5YearsOfCPEC pic.twitter.com/MnLRlhTMjE",,
,,Apr 23,The,The PTM and Pro army debate is getting incredibly tiresome. Can we agree that both have problematic grey areas? Stupid false equivalence with Khadim Rizvi though. Guy glorifies a   convicted murderer and encourages violence. Just bonkers.,,
,,Apr 22,Are,"Are you saying poor Zainab was violated coz she didn't give enough respect to men? Are you saying the women who are harassed, molested, assaulted, violated, raped, thrown acid on face, killed post rape...actually faced it coz they had something wrong with them?",,
,,Apr 22,This,"This is a personal plea
When you hear of my death,  please dont post my pictures everywhere and write essays about how you wish i was here
I'm gone , and if you really love me , Dua is the only thing you'll make for me whenever you remember me.
Thats all i need.
Thank you.",,
,,Apr 21,"Postgraduate,Hassan_Abdal,Punjab,Pakistan","Postgraduate College for Women #Hassan_Abdal is in final Stage of Completion.
#Punjab #Pakistan pic.twitter.com/Fr7cyJoHEZ",,
,,5h,"What,PMLN","What exactly is a ""gharailu aurat""? I ask Rana Sanaullah and his party. Do you guys consider Maryam Nawaz Sharif & women members of #PMLN gharailu aurataiN? If yes, you're more messed than I ever thought. If no, you have totally lost your own argument. Think!",,
,,5h,Rana,"Rana Sanaullah's statement about women participating in yesterday's PTI jalsa, is puke worthy & despicable. PMLN men prove almost everyday the misogynist culture of their party and patriarchal character of their own. This entire lot of chauvinist males needs urgent replacement.",,
,,3h,"#PMLN,Ranasanaullah,Ranasanaullah","#PMLN have lost their senses. 
They d'nt how to respect a women.
Shame for #Ranasanaullah
Disgusting 
Kuch tu sharam Karo 
Kuch tu hay karo
#Ranasanaullah",,
,,23h,This,This is how much PTI supporters respect women. Impressed. https://twitter.com/NomiiSahil/status/990691876356460544 …,,
,,Apr 20,"A,AliZafar,MeeshaShafi:",A rare photo of #AliZafar trying to harass #MeeshaShafi: pic.twitter.com/CPSSX7ChVi,,
,,33m,@DrAyeshaNaveed,@DrAyeshaNaveed @IN FACT IF you investigate his women at home listen the same dirty Language so he is INCORRIGIBLE.,,
,,40m,"#SongsOfFreedom2018,MashalKhan,BachaKhanUniAttack,Malala,SongsOfFreedom2018","#SongsOfFreedom2018
We want an end to the education system which has killed many young students from #MashalKhan to #BachaKhanUniAttack it has bred killers of kids like Zainab. The narrative that has turned a killer into hero and curses peaceful #Malala 
#SongsOfFreedom2018",,
,,2h,Wallah,"Wallah I’m not gonna make my children’s life as I’m spending it, like hell bored, I will have some games in my house and weekly tour nearest part where I will live.",,
,,2h,"We,sexualharrasment,songsoffreedom2018",We aim to end #sexualharrasment across campuses. We demand an immediate end to oppression on women in our society #songsoffreedom2018,,
,,3h,#OneShiningYearOfPTS,"#OneShiningYearOfPTS 
The selfie  of the year, credit goes to @ImranKhanPTI because no other leader can even tolerate to be someone like this child so close to him pic.twitter.com/hD0PezyWXa",,
,,3h,#Shab_e_Barat,"#Shab_e_Barat
A Night of Blessing 
All Human deeds is presented above & the decisions of life and Death are made for the next year May Almighty Allah forgive our all sins I Request to all of u please remember each other in your prays",,
,,4h,"Strongly,WomenmysisterWomenmyMother,RanaSanaullah","Strongly Condemn the disgraceful  words used by Rana Sanaullah for Women.
 Therefore we want to kick them. We believe in women empowerment, part of 11 point agenda of PTI. #WomenmysisterWomenmyMother
#RanaSanaullah pic.twitter.com/Lc6kHUePSU",,
,,4h,In,"In the very moments when Imran Khan included women empowerment in his 11 points. 
Appalled by the statements made by PMLN representatives seeing how Maryam Nawaz, a woman, is now the face of the party. https://twitter.com/uzair_rehman28/status/990978008637992960 …",,
